"Package","Version","source"
"RcppTOML","0.2.3","dependency"
"Rdpack","2.6.4","dependency"
"readr","2.1.6","loaded"
"readxl","1.4.5","dependency"
"reformulas","0.4.3","dependency"
"rematch","2.0.0","dependency"
"rematch2","2.1.2","loaded"
"rentrez","1.2.4","loaded"
"renv","1.1.5","dependency"
"reprex","2.1.1","dependency"
"reshape","0.8.10","dependency"
"reshape2","1.4.5","loaded"
"Rfunctions","0.1.0","loaded"
"rhdf5","2.54.1","loaded"
"rhdf5filters","1.22.0","loaded"
"Rhdf5lib","1.32.0","loaded"
"rjson","0.2.23","loaded"
"rlang","1.1.6","loaded"
"rmarkdown","2.30","loaded"
"Rmpfr","1.1-2","loaded"
"rprojroot","2.1.1","dependency"
"rsconnect","1.7.0","loaded"
"RSQLite","2.4.5","loaded"
"rstantools","2.5.0","loaded"
"rstudioapi","0.17.1","loaded"
"rsvd","1.0.5","loaded"
"rvest","1.0.5","dependency"
"S4Arrays","1.10.1","loaded"
"S4Vectors","0.48.0","loaded"
"S7","0.2.1","loaded"
"sandwich","3.1-1","loaded"
"sass","0.4.10","loaded"
"ScaledMatrix","1.18.0","loaded"
"scales","1.4.0","loaded"
"scatterpie","0.2.6","dependency"
"selectr","0.5-1","dependency"
"Seqinfo","1.0.0","loaded"
"shape","1.4.6.1","loaded"
"SingleCellExperiment","1.32.0","loaded"
"slam","0.1-55","loaded"
"snow","0.4-4","dependency"
"snowflakeauth","0.2.0","dependency"
"SparseArray","1.10.8","loaded"
"SparseM","1.84-2","dependency"
"sparseMatrixStats","1.22.0","loaded"
"SpatialExperiment","1.20.0","loaded"
"splines","4.5.1","loaded"
"statmod","1.5.1","loaded"
"stats","4.5.1","loaded"
"stats4","4.5.1","loaded"
"statsExpressions","1.7.2","loaded"
"stringi","1.8.7","loaded"
"stringr","1.6.0","loaded"
"SummarizedExperiment","1.40.0","loaded"
"SuppDists","1.1-9.9","loaded"
"survival","3.8-3","loaded"
"sys","3.4.3","dependency"
"systemfonts","1.3.1","loaded"
"textshaping","1.0.4","dependency"
"TH.data","1.1-5","loaded"
"tibble","3.3.0","loaded"
"tidyr","1.3.2","loaded"
"tidyselect","1.2.1","loaded"
"tidytree","0.4.6","loaded"
"tidyverse","2.0.0","loaded"
"timechange","0.3.0","loaded"
"timeDate","4051.111","dependency"
"tinytex","0.58","dependency"
"tools","4.5.1","loaded"
"treeio","1.34.0","loaded"
"tseries","0.10-58","dependency"
"TTR","0.24.4","dependency"
"tweenr","2.0.3","dependency"
"tzdb","0.5.0","loaded"
"UCSC.utils","1.6.1","loaded"
"UpSetR","1.4.0","loaded"
"urca","1.3-4","dependency"
"utf8","1.2.6","loaded"
"utils","4.5.1","loaded"
"uuid","1.2-1","dependency"
"vctrs","0.6.5","loaded"
"venn","1.12","dependency"
"viridisLite","0.4.2","dependency"
"vroom","1.6.7","dependency"
"vsn","3.78.0","loaded"
"whisker","0.4.1","dependency"
"withr","3.0.2","loaded"
"workflowr","1.7.2","loaded"
"writexl","1.5.4","loaded"
"WRS2","1.1-7","dependency"
"xfun","0.55","loaded"
"XML","3.99-0.20","loaded"
"xml2","1.5.1","loaded"
"xtable","1.8-4","loaded"
"xts","0.14.1","dependency"
"XVector","0.50.0","loaded"
"yaml","2.3.12","loaded"
"yulab.utils","0.2.3","loaded"
"zeallot","0.2.0","loaded"
"zoo","1.8-15","loaded"
